agent6.actions,agent6.flat_exam, agent6.hilly_exam,agent6.forest_exam,agent7.actions,agent7.flat_exam,agent7.hilly_exam,agent7.forest_exam,            agent8.actions,agent8.flat_exam, agent8.hilly_exam, agent8.forest_exam
4620, 339, 325, 374, 37800, 1184, 1623, 2324, 17356, 638, 1166, 3370
16053, 2883, 0, 0, 5115, 1036, 0, 0, 4569, 1013, 0, 0
17920, 3485, 0, 0, 7764, 1612, 0, 0, 10580, 2413, 0, 0
49570, 580, 1166, 3980, 104, 8, 8, 9, 12788, 565, 959, 2247
10935, 2048, 0, 0, 5993, 1331, 0, 0, 957, 225, 0, 0
2821, 674, 0, 0, 16299, 3070, 0, 0, 6159, 1431, 0, 0
33633, 560, 1054, 2440, 8709, 560, 602, 530, 7719, 392, 548, 1292
2586, 581, 0, 0, 3966, 850, 0, 0, 7754, 1715, 0, 0
2839, 203, 211, 211, 2645, 219, 232, 180, 2253, 129, 186, 304
136883, 1833, 2879, 8688, 49793, 1222, 1960, 3258, 9845, 537, 734, 1550
1424, 120, 121, 112, 7790, 525, 542, 536, 2986, 172, 250, 443
4338, 951, 0, 0, 1826, 437, 0, 0, 27822, 6623, 0, 0
3691, 834, 0, 0, 15141, 3042, 0, 0, 2165, 502, 0, 0
2695, 601, 0, 0, 5849, 1281, 0, 0, 6017, 1377, 0, 0
7202, 1553, 0, 0, 7160, 1576, 0, 0, 5534, 1251, 0, 0
127508, 1162, 2895, 8478, 2004, 168, 151, 143, 14430, 581, 1071, 2723
4688, 341, 332, 353, 2822, 215, 222, 216, 2944, 148, 209, 477
11765, 2176, 0, 0, 4139, 882, 0, 0, 6401, 1418, 0, 0
20688, 519, 546, 1729, 42232, 1038, 1638, 2732, 20246, 701, 1511, 3917
833, 63, 61, 49, 14801, 727, 990, 759, 4311, 277, 344, 589
8241, 548, 563, 550, 7165, 504, 507, 459, 15831, 613, 1186, 2903
394, 32, 30, 29, 4930, 381, 358, 364, 352, 30, 29, 40
7190, 1568, 0, 0, 1540, 378, 0, 0, 6600, 1522, 0, 0
928, 73, 76, 78, 28112, 1136, 1374, 1665, 7528, 401, 591, 1177
1615, 130, 112, 117, 2283, 185, 180, 141, 2641, 176, 205, 366
29168, 561, 855, 2364, 9312, 561, 853, 514, 1534, 86, 133, 207
26752, 508, 548, 2104, 37408, 1016, 1644, 1884, 3852, 206, 327, 536
2449, 593, 0, 0, 4721, 1092, 0, 0, 6475, 1449, 0, 0
57791, 536, 1719, 4099, 26937, 1072, 1146, 1683, 40539, 1392, 2978, 8449
36198, 602, 1126, 3003, 47726, 1204, 1689, 3312, 33634, 1208, 2294, 7125
8213, 1629, 0, 0, 12099, 2402, 0, 0, 5977, 1264, 0, 0
7575, 555, 531, 556, 29121, 1192, 1452, 1767, 8479, 464, 636, 1319
29214, 571, 1079, 2284, 5864, 414, 436, 402, 998, 64, 88, 116
5865, 432, 436, 422, 5521, 415, 423, 351, 895, 50, 72, 120
202814, 2095, 3941, 12606, 3212, 265, 229, 218, 15350, 604, 1133, 2811
172, 37, 0, 0, 8636, 1639, 0, 0, 1250, 281, 0, 0
29202, 566, 747, 2340, 90816, 1698, 2491, 5265, 11452, 442, 867, 2040
7442, 535, 536, 540, 3410, 281, 272, 232, 5970, 372, 483, 843
28770, 568, 723, 2184, 28660, 1136, 1191, 1638, 68820, 2265, 4622, 13873
6488, 1322, 0, 0, 2800, 626, 0, 0, 22630, 5005, 0, 0
7750, 564, 524, 559, 56390, 1170, 1865, 3540, 13160, 549, 904, 2427
7215, 483, 536, 488, 29475, 1042, 1245, 1644, 4297, 217, 332, 644
137374, 1226, 2605, 8625, 5448, 417, 390, 379, 7994, 397, 567, 1323
239, 21, 21, 15, 2267, 197, 183, 149, 5965, 300, 468, 957
1621, 135, 131, 129, 76765, 1094, 2216, 4963, 32279, 1092, 2235, 6695
55894, 554, 1485, 4130, 3098, 230, 240, 227, 33660, 1132, 2373, 6942
936, 223, 0, 0, 462, 107, 0, 0, 4110, 943, 0, 0
510, 40, 45, 37, 128, 10, 12, 13, 92, 7, 8, 10
5607, 1250, 0, 0, 3645, 835, 0, 0, 8515, 1923, 0, 0
155875, 1554, 2830, 8720, 25711, 1036, 1132, 1321, 34145, 1060, 2347, 6660
