agent6.actions,agent6.flat_exam, agent6.hilly_exam,agent6.forest_exam,agent7.actions,agent7.flat_exam,agent7.hilly_exam,agent7.forest_exam,            agent8.actions,agent8.flat_exam, agent8.hilly_exam, agent8.forest_exam
6325, 427, 463, 483, 511, 43, 37, 27, 3763, 182, 297, 578
2332, 173, 181, 183, 88796, 1392, 2160, 5031, 2180, 116, 199, 324
994, 74, 86, 85, 3760, 267, 305, 280, 1688, 105, 139, 236
2442, 189, 184, 185, 3616, 265, 266, 250, 4568, 242, 357, 698
5291, 1173, 0, 0, 5493, 1229, 0, 0, 6503, 1501, 0, 0
23564, 570, 579, 1925, 31902, 1140, 1737, 1794, 5204, 273, 397, 848
1143, 77, 93, 89, 901, 65, 75, 72, 22011, 769, 1743, 4221
32059, 546, 973, 2376, 6037, 416, 410, 390, 1151, 56, 90, 173
11440, 579, 526, 921, 2248, 176, 149, 161, 25280, 888, 1637, 5204
6132, 396, 437, 474, 3944, 277, 278, 274, 12648, 452, 956, 2311
5132, 1157, 0, 0, 27756, 4911, 0, 0, 1102, 264, 0, 0
15854, 3086, 0, 0, 5940, 1283, 0, 0, 6044, 1332, 0, 0
191585, 1653, 3408, 10331, 3417, 244, 250, 224, 16853, 579, 1227, 3173
6647, 486, 489, 460, 7163, 496, 524, 436, 1063, 59, 93, 138
49616, 574, 1072, 3841, 15478, 781, 1072, 771, 10110, 431, 740, 1797
3983, 285, 312, 288, 5605, 358, 414, 355, 8599, 362, 691, 1381
15254, 3042, 0, 0, 6704, 1478, 0, 0, 11914, 2791, 0, 0
11922, 2433, 0, 0, 15158, 3081, 0, 0, 5110, 1175, 0, 0
30008, 576, 1159, 2164, 5790, 446, 454, 382, 21970, 804, 1679, 4209
17289, 3237, 0, 0, 3153, 709, 0, 0, 5037, 1133, 0, 0
27793, 581, 521, 2012, 2721, 197, 177, 201, 11727, 522, 847, 2005
17352, 3263, 0, 0, 17532, 3329, 0, 0, 1874, 435, 0, 0
69215, 1006, 1743, 4552, 3765, 269, 306, 259, 22915, 758, 1698, 4410
4686, 320, 348, 388, 3144, 224, 227, 248, 38126, 1135, 2584, 8292
3319, 243, 243, 224, 92957, 1546, 2264, 4860, 857, 66, 51, 126
7164, 543, 506, 477, 4390, 347, 333, 250, 15030, 598, 1170, 2656
4271, 921, 0, 0, 2087, 474, 0, 0, 7837, 1708, 0, 0
1815, 127, 142, 130, 7075, 484, 483, 413, 2903, 191, 246, 381
67129, 1018, 1491, 4496, 49375, 1018, 1491, 3001, 18771, 639, 1311, 3700
11250, 563, 553, 845, 16056, 784, 1106, 799, 4298, 232, 326, 653
50253, 526, 1122, 3449, 82815, 1052, 2244, 4599, 72245, 2186, 5089, 15086
4252, 919, 0, 0, 1054, 258, 0, 0, 6154, 1360, 0, 0
2452, 570, 0, 0, 2254, 526, 0, 0, 288, 70, 0, 0
24871, 552, 544, 2112, 3317, 235, 248, 221, 16049, 613, 1155, 3051
67545, 750, 1623, 4640, 2023, 153, 156, 154, 3637, 254, 304, 479
73114, 622, 1755, 4504, 5980, 433, 435, 379, 16648, 602, 1252, 3078
3769, 882, 0, 0, 6837, 1472, 0, 0, 1607, 376, 0, 0
7825, 522, 508, 583, 6489, 448, 447, 431, 2709, 165, 178, 409
2374, 180, 171, 201, 5324, 414, 385, 397, 1780, 122, 143, 231
1941, 428, 0, 0, 1697, 396, 0, 0, 3125, 705, 0, 0
31650, 560, 952, 2392, 606, 42, 36, 68, 222, 13, 16, 30
999, 214, 0, 0, 5153, 1122, 0, 0, 4253, 953, 0, 0
5568, 409, 407, 404, 2954, 243, 229, 196, 6342, 348, 541, 954
28293, 545, 815, 2272, 9163, 545, 746, 485, 5439, 267, 434, 832
9250, 1986, 0, 0, 430, 117, 0, 0, 240, 68, 0, 0
5003, 1086, 0, 0, 6427, 1350, 0, 0, 6791, 1555, 0, 0
66609, 993, 1647, 4328, 12465, 585, 1098, 581, 5731, 356, 440, 810
153372, 1623, 3382, 8576, 3128, 225, 267, 210, 14812, 572, 1160, 2606
3389, 268, 248, 242, 6799, 517, 482, 393, 10589, 481, 804, 1803
3020, 660, 0, 0, 2776, 647, 0, 0, 2792, 616, 0, 0
