agent6.actions,agent6.flat_exam, agent6.hilly_exam,agent6.forest_exam,agent7.actions,agent7.flat_exam,agent7.hilly_exam,agent7.forest_exam,            agent8.actions,agent8.flat_exam, agent8.hilly_exam, agent8.forest_exam
161, 6, 13, 14, 255, 17, 22, 18, 159, 12, 17, 13
191, 14, 11, 16, 365, 22, 23, 25, 181, 10, 10, 20
514, 109, 0, 0, 8, 3, 0, 0, 8, 3, 0, 0
1218, 24, 42, 136, 60, 4, 5, 7, 128, 8, 14, 10
1007, 29, 38, 107, 1259, 58, 57, 107, 483, 38, 37, 42
1184, 33, 45, 138, 320, 22, 18, 22, 284, 20, 19, 28
678, 129, 0, 0, 558, 114, 0, 0, 264, 47, 0, 0
388, 64, 0, 0, 88, 17, 0, 0, 502, 103, 0, 0
114, 18, 0, 0, 358, 57, 0, 0, 336, 63, 0, 0
102, 4, 9, 8, 200, 14, 11, 14, 1768, 63, 111, 369
