(41, 14, 13, 14, 80, 18, 40, 22, 386, 36, 82, 268)
(169, 26, 39, 104, 25, 10, 9, 6, 10, 4, 4, 2)
(2, 1, 1, 0, 2, 1, 1, 0, 2, 1, 1, 0)
(106, 15, 19, 72, 1134, 90, 228, 816, 129, 13, 30, 86)
(34, 14, 10, 10, 60, 28, 17, 15, 76, 24, 20, 32)
(16, 4, 7, 5, 65, 29, 18, 18, 54, 20, 12, 22)
(364, 44, 99, 221, 46, 15, 17, 14, 280, 43, 77, 160)
(488, 40, 97, 351, 77, 20, 32, 25, 181, 17, 35, 129)
(16, 4, 7, 5, 38, 13, 15, 10, 4, 1, 3, 0)
(57, 17, 22, 18, 76, 18, 42, 16, 59, 12, 19, 28)
(27, 7, 12, 8, 39, 10, 18, 11, 430, 33, 120, 277)
(32, 10, 9, 13, 411, 69, 110, 232, 22, 5, 4, 13)
(45, 45, 0, 0, 20, 20, 0, 0, 22, 22, 0, 0)
(19, 9, 3, 7, 24, 10, 7, 7, 20, 4, 5, 11)
(137, 19, 25, 93, 323, 38, 100, 185, 344, 30, 80, 234)
(56, 56, 0, 0, 3, 3, 0, 0, 19, 19, 0, 0)
(222, 31, 51, 140, 164, 62, 42, 60, 426, 66, 91, 269)
(357, 26, 81, 250, 161, 26, 54, 81, 44, 7, 15, 22)
(16, 16, 0, 0, 21, 21, 0, 0, 23, 23, 0, 0)
(111, 25, 19, 67, 204, 50, 57, 97, 97, 24, 26, 47)
