agent8_2.actions,agent8_2.flat_exam, agent8_2.hilly_exam, agent8_2.forest_exam
432, 29, 28, 40, 2958, 196, 204, 159, 27486, 1276, 2395, 3829
9359, 556, 552, 594, 8589, 527, 520, 501, 13131, 807, 1150, 1257
13785, 2468, 0, 0, 11575, 2063, 0, 0, 7853, 1589, 0, 0
419, 22, 34, 28, 953, 64, 69, 53, 5751, 344, 532, 421
40700, 563, 1108, 2577, 1970, 117, 135, 122, 21006, 1104, 1783, 2557
27799, 4855, 0, 0, 11827, 1945, 0, 0, 4417, 886, 0, 0
16622, 564, 583, 1250, 64846, 1128, 2332, 3906, 11742, 719, 1027, 1000
69863, 650, 1596, 4688, 1339, 99, 84, 76, 8887, 554, 737, 691
5035, 306, 330, 306, 15793, 665, 1188, 663, 9607, 585, 908, 631
159032, 1602, 3191, 9168, 10786, 534, 746, 509, 3058, 191, 276, 216
6078, 373, 353, 384, 30556, 1130, 1690, 1734, 4330, 267, 362, 326
9749, 572, 546, 580, 6975, 427, 415, 405, 17861, 1037, 1505, 1965
2322, 454, 0, 0, 1432, 299, 0, 0, 1050, 218, 0, 0
35931, 552, 1080, 2768, 92165, 1656, 2700, 5468, 31173, 1430, 2404, 5022
5597, 355, 357, 358, 685, 52, 47, 47, 1581, 100, 129, 117
8362, 475, 505, 498, 358, 27, 23, 23, 2226, 144, 211, 126
11843, 578, 588, 807, 49265, 1156, 1764, 3187, 33911, 1583, 2823, 5573
21931, 3607, 0, 0, 1437, 288, 0, 0, 2553, 503, 0, 0
1373, 79, 75, 97, 4787, 310, 297, 267, 12019, 738, 975, 1000
5438, 1027, 0, 0, 12004, 2119, 0, 0, 3394, 669, 0, 0
88824, 1170, 2180, 5988, 121906, 1755, 3270, 7673, 18800, 1119, 1538, 2164
8286, 468, 535, 496, 3908, 244, 265, 218, 5634, 335, 531, 360
697, 39, 45, 57, 12037, 614, 945, 535, 12975, 859, 1036, 1145
9131, 529, 497, 582, 1623, 108, 85, 97, 58869, 2143, 4158, 11442
32387, 524, 594, 2160, 226185, 2096, 4857, 11340, 10983, 647, 1002, 794
3363, 671, 0, 0, 2149, 413, 0, 0, 7533, 1578, 0, 0
1274, 251, 0, 0, 25930, 4523, 0, 0, 2094, 425, 0, 0
20699, 563, 509, 1514, 16867, 695, 1018, 747, 38163, 1673, 2797, 6387
235162, 2140, 4558, 12232, 31454, 1070, 1520, 1668, 17120, 974, 1528, 1822
11848, 2025, 0, 0, 4084, 762, 0, 0, 6894, 1337, 0, 0
2560, 162, 155, 163, 16110, 706, 1040, 631, 8726, 570, 723, 571
174506, 1563, 3162, 9972, 2000, 128, 113, 112, 15658, 874, 1294, 1558
1265, 78, 90, 83, 17721, 775, 1132, 880, 6913, 438, 616, 433
30918, 539, 717, 2268, 2882, 174, 172, 170, 16038, 911, 1384, 1644
8775, 531, 524, 536, 19725, 1078, 1116, 1007, 19275, 1069, 1608, 2277
7833, 492, 477, 505, 1331, 75, 93, 77, 36795, 1660, 2935, 6162
4010, 731, 0, 0, 2080, 397, 0, 0, 2620, 502, 0, 0
6994, 1277, 0, 0, 2472, 504, 0, 0, 11054, 2301, 0, 0
48882, 589, 1084, 3299, 37770, 1178, 1626, 2044, 19788, 1116, 1600, 2380
6266, 394, 387, 411, 2910, 196, 181, 150, 16514, 960, 1428, 1806
1065, 56, 74, 76, 175107, 2160, 3877, 9936, 34867, 1516, 2793, 5749
15952, 2846, 0, 0, 4118, 811, 0, 0, 7438, 1563, 0, 0
148936, 1583, 2695, 8445, 978, 69, 60, 68, 1966, 123, 171, 129
9093, 503, 506, 575, 6737, 406, 403, 390, 4691, 301, 422, 295
3553, 697, 0, 0, 6423, 1211, 0, 0, 10119, 2082, 0, 0
2094, 401, 0, 0, 4974, 906, 0, 0, 2374, 473, 0, 0
29739, 553, 866, 2316, 3573, 232, 235, 191, 8183, 485, 720, 551
14941, 583, 548, 1080, 5829, 365, 356, 331, 17243, 1043, 1453, 1834
6125, 1133, 0, 0, 9643, 1657, 0, 0, 1097, 207, 0, 0
12555, 2243, 0, 0, 15737, 2779, 0, 0, 12031, 2544, 0, 0
